date,price_inr
2020-01-02,5077.110000000001
2020-01-03,5229.0
2020-01-06,5251.41
2020-01-07,5204.1
2020-01-08,4950.95
2020-01-09,4943.4800000000005
2020-01-10,4898.66
2020-01-13,4828.110000000001
2020-01-14,4842.22
2020-01-15,4802.38
2020-01-16,4857.16
2020-01-17,4859.65
2020-01-21,4834.75
2020-01-22,4711.08
2020-01-23,4607.33
2020-01-24,4489.47
2020-01-27,4406.47
2020-01-28,4426.389999999999
2020-01-29,4423.07
2020-01-30,4331.7699999999995
2020-01-31,4281.139999999999
2020-02-03,4154.9800000000005
2020-02-04,4115.97
2020-02-05,4222.21
2020-02-06,4228.0199999999995
2020-02-07,4178.22
2020-02-10,4115.97
2020-02-11,4150.0
2020-02-12,4243.79
2020-02-13,4267.03
2020-02-14,4318.49
2020-02-18,4324.3
2020-02-19,4424.7300000000005
2020-02-20,4462.91
2020-02-21,4428.88
2020-02-24,4262.88
2020-02-25,4131.74
2020-02-26,4039.61
2020-02-27,3915.11
2020-02-28,3720.89
2020-03-02,3882.7400000000002
2020-03-03,3923.4100000000003
2020-03-04,3882.7400000000002
2020-03-05,3809.7
2020-03-06,3414.62
2020-03-09,2577.15
2020-03-10,2861.0099999999998
2020-03-11,2749.7900000000004
2020-03-12,2619.48
2020-03-13,2632.7599999999998
2020-03-16,2403.6800000000003
2020-03-17,2237.6800000000003
2020-03-18,1699.8400000000001
2020-03-19,2082.47
2020-03-20,1616.8400000000001
2020-03-23,1936.3899999999999
2020-03-24,1745.49
2020-03-25,1722.25
2020-03-26,1377.8000000000002
2020-03-27,1284.8400000000001
2020-03-30,1170.3
2020-03-31,1702.3300000000002
2020-04-01,1683.24
2020-04-02,2089.94
2020-04-03,2353.88
2020-04-06,2175.4300000000003
2020-04-07,1953.82
2020-04-08,2072.5099999999998
2020-04-09,1900.6999999999998
2020-04-13,1855.8799999999999
2020-04-14,1672.4499999999998
2020-04-15,1656.68
2020-04-16,1645.06
2020-04-17,1519.7299999999998
2020-04-20,-3069.3399999999997
2020-04-21,739.53
2020-04-22,1132.1200000000001
2020-04-23,1249.98
2020-04-24,1327.17
2020-04-27,1010.11
2020-04-28,1029.2
2020-04-29,1248.32
2020-04-30,1596.0900000000001
2020-05-01,1636.76
2020-05-04,1699.01
2020-05-05,2038.4799999999998
2020-05-06,1982.04
2020-05-07,1965.44
2020-05-08,2052.59
2020-05-11,1993.6599999999999
2020-05-12,2138.08
2020-05-13,2105.71
2020-05-14,2274.2
2020-05-15,2443.52
2020-05-18,2641.89
2020-05-19,2680.8999999999996
2020-05-20,2785.48
2020-05-21,2846.8999999999996
2020-05-22,2779.67
2020-05-26,2880.1000000000004
2020-05-27,2722.3999999999996
2020-05-28,2794.61
2020-05-29,2952.31
2020-06-01,2945.67
2020-06-02,3061.0400000000004
2020-06-03,3098.39
2020-06-04,3105.86
2020-06-05,3277.67
2020-06-08,3168.11
